站点,lon,lat,所属线路,所属区划
长清路,121.48330470691313,31.176448491251396,7号线,浦东新区
后滩,121.46923814213356,31.173876818810268,7号线,浦东新区
凌兆新村,121.48520221255652,31.14332026232964,8号线,浦东新区
杨思,121.4889940224712,31.16307402504045,8号线,浦东新区
成山路,121.49178018179128,31.172758310418672,8号线,浦东新区
中华艺术宫,121.48917562199806,31.18725023496457,8号线,浦东新区
曹路,121.67873113567656,31.273351378975768,9号线,浦东新区
民雷路,121.66383917882679,31.270444026787754,9号线,浦东新区
顾唐路,121.65220162034693,31.26820534100965,9号线,浦东新区
金海路,121.63439595691324,31.26530184921145,9号线,浦东新区
金吉路,121.62425925922129,31.26648172217331,9号线,浦东新区
金桥,121.60713046975998,31.263036950572825,9号线,浦东新区
台儿庄路,121.59325476537107,31.25501699497003,9号线,浦东新区
蓝天路,121.57376173462744,31.24320196724401,9号线,浦东新区
芳甸路,121.55418216900291,31.234005090406537,9号线,浦东新区
杨高中路,121.54439223275172,31.22965193338496,9号线,浦东新区
商城路,121.51190205358215,31.2323124835146,9号线,浦东新区
三林,121.50721185700914,31.145255962830053,11号线(嘉定北-迪士尼),浦东新区
三林东,121.51865628174306,31.148574795573925,11号线(嘉定北-迪士尼),浦东新区
浦三路,121.53471283723287,31.15301796188231,11号线(嘉定北-迪士尼),浦东新区
御桥,121.56669471879441,31.160347795582442,11号线(嘉定北-迪士尼),浦东新区
罗山路,121.58895556449957,31.15549803981865,11号线(嘉定北-迪士尼),浦东新区
秀沿路,121.59419641866027,31.140376454005914,11号线(嘉定北-迪士尼),浦东新区
康新公路,121.61300086021281,31.132686792014407,11号线(嘉定北-迪士尼),浦东新区
迪士尼,121.66368411264874,31.143433677509986,11号线(嘉定北-迪士尼),浦东新区
东陆路,121.57490565798841,31.284701212021872,12号线,浦东新区
杨高北路,121.59875497639936,31.282272722787386,12号线,浦东新区
金京路,121.61126766435402,31.281999872003993,12号线,浦东新区
申江路,121.62264374989408,31.282398668226318,12号线,浦东新区
世博大道,121.47982986251937,31.18477131526545,13号线,浦东新区
华鹏路,121.52223371533688,31.17838648397986,13号线,浦东新区
下南路,121.53589792974071,31.181440270004078,13号线,浦东新区
北蔡,121.54775762959852,31.18230323575301,13号线,浦东新区
陈春路,121.55346232801504,31.176942444499396,13号线,浦东新区
莲溪路,121.56218622527224,31.171314495499054,13号线,浦东新区
华夏中路,121.57890370985993,31.17798026946833,16号线,浦东新区
中科路,121.59826836249195,31.181089510886093,16号线,浦东新区
学林路,121.61016230941831,31.18569781815967,16号线,浦东新区
张江路,121.62496767040516,31.19133692337091,16号线,浦东新区
周浦东,121.60270344311537,31.112301393690835,16号线,浦东新区
鹤沙航城,121.60704861535895,31.080077058821672,16号线,浦东新区
航头东,121.61330186718813,31.057208808663997,16号线,浦东新区
新场,121.64474834270149,31.047818801441,16号线,浦东新区
上海野生动物园,121.69489328549248,31.052488234076833,16号线,浦东新区
惠南,121.75732200705623,31.055937199027525,16号线,浦东新区
惠南东,121.78949484485076,31.02859973643169,16号线,浦东新区
书院,121.84635811745905,30.96155455145765,16号线,浦东新区
临港大道,121.90677040002176,30.925886414212712,16号线,浦东新区
滴水湖,121.92549314398475,30.9096099594914,16号线,浦东新区
南京西路,121.45540601441341,31.23174992355857,2号线,静安区
静安寺,121.44162141480032,31.224955807522225,2号线,静安区
昌平路,121.43800861423384,31.23561091629161,7号线,静安区
自然博物馆,121.45780732775415,31.23835032413896,13号线,静安区
江苏路,121.4260130840478,31.222263311656146,2号线,长宁区
中山公园,121.41112761378851,31.21979068556592,2号线,长宁区
娄山关路,121.39940834335823,31.213002414440066,2号线,长宁区
威宁路,121.38264042862784,31.21672067266569,2号线,长宁区
北新泾,121.36936697975383,31.21825882540021,2号线,长宁区
淞虹路,121.35497942521162,31.22009596378463,2号线,长宁区
延安西路,121.41241832147163,31.21146319883584,3号线,长宁区
虹桥路,121.41617473708506,31.199379070001612,3号线,长宁区
交通大学,121.43063317501414,31.204079383004714,10号线(新江湾城-虹桥火车站),长宁区
宋园路,121.40743415673849,31.198391878722163,10号线(新江湾城-虹桥火车站),长宁区
伊犁路,121.39925039689604,31.200730381186577,10号线(新江湾城-虹桥火车站),长宁区
