地铁线,区,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度,,,,
4,黄浦区,7,西藏南路,31.20203815,121.4894752,94,94,31.20203815,121.4894752,31.20843615,121.4994631,31.20523715,121.4944692,0.003199,0.00499395
4,黄浦区,8,南浦大桥,31.20843615,121.4994631,95,95,31.20843615,121.4994631,31.20952986,121.5187967,31.20898301,121.5091299,0.000546855,0.0096668
4,浦东新区,9,塘桥,31.20952986,121.5187967,96,96,31.20952986,121.5187967,31.21173086,121.5278407,31.21063036,121.5233187,0.0011005,0.004522
4,浦东新区,10,蓝村路,31.21173086,121.5278407,97,97,31.21173086,121.5278407,31.2224284,121.5321924,31.21707963,121.5300166,0.00534877,0.00217585
4,浦东新区,11,浦电路,31.2224284,121.5321924,98,98,31.2224284,121.5321924,31.22891984,121.5269903,31.22567412,121.5295914,0.00324572,-0.00260105
4,浦东新区,12,世纪大道,31.22891984,121.5269903,99,99,31.22891984,121.5269903,31.23990389,121.5194805,31.23441187,121.5232354,0.005492025,-0.0037549
4,浦东新区,13,浦东大道,31.23990389,121.5194805,100,100,31.23990389,121.5194805,31.25196456,121.5173752,31.24593423,121.5184279,0.006030335,-0.00105265
4,虹口区,14,杨树浦路,31.25196456,121.5173752,101,101,31.25196456,121.5173752,31.25823756,121.5128632,31.25510106,121.5151192,0.0031365,-0.002256
4,虹口区,15,大连路,31.25823756,121.5128632,102,102,31.25823756,121.5128632,31.26094725,121.5010341,31.25959241,121.5069487,0.001354845,-0.00591455
4,虹口区,16,临平路,31.26094725,121.5010341,103,103,31.26094725,121.5010341,31.25921487,121.4890396,31.26008106,121.4950369,-0.00086619,-0.00599725
4,虹口区,17,海伦路,31.25921487,121.4890396,104,104,31.25921487,121.4890396,31.25148975,121.4763984,31.25535231,121.482719,-0.00386256,-0.0063206
4,静安区,18,宝山路,31.25148975,121.4763984,105,105,31.25148975,121.4763984,31.24889197,121.4575254,31.25019086,121.4669619,-0.00129889,-0.0094365
4,静安区,19,上海火车站,31.24889197,121.4575254,106,106,31.24889197,121.4575254,31.25458115,121.4410549,31.25173656,121.4492902,0.00284459,-0.00823525
4,普陀区,20,中潭路,31.25458115,121.4410549,107,107,31.25458115,121.4410549,31.24647436,121.4304401,31.25052776,121.4357475,-0.004053395,-0.0053074
4,普陀区,21,镇坪路,31.24647436,121.4304401,108,108,31.24647436,121.4304401,31.23858343,121.4179058,31.2425289,121.424173,-0.003945465,-0.00626715
4,普陀区,22,曹杨路,31.23858343,121.4179058,109,109,31.23858343,121.4179058,31.23190043,121.4128068,31.23524193,121.4153563,-0.0033415,-0.0025495
4,普陀区,23,金沙江路,31.23190043,121.4128068,110,110,31.23190043,121.4128068,31.21822887,121.4163673,31.22506465,121.4145871,-0.00683578,0.00178025
4,长宁区,24,中山公园,31.21822887,121.4163673,111,111,31.21822887,121.4163673,31.20961987,121.4170693,31.21392437,121.4167183,-0.0043045,0.000351
4,长宁区,25,延安西路,31.20961987,121.4170693,112,112,31.20961987,121.4170693,31.19691457,121.4216066,31.20326722,121.419338,-0.00635265,0.00226865
4,长宁区,26,虹桥路,31.19691457,121.4216066,113,113,31.19691457,121.4216066,31.1863361,121.4272028,31.19162534,121.4244047,-0.005289235,0.0027981
5,闵行区,1,莘庄,31.11121476,121.3855616,114,114,31.11121476,121.3855616,31.09829793,121.3857112,31.10475635,121.3856364,-0.006458415,7.48E-05
5,闵行区,2,春申路,31.09829793,121.3857112,115,115,31.09829793,121.3857112,31.08933387,121.3902769,31.0938159,121.3879941,-0.00448203,0.00228285
5,闵行区,3,银都路,31.08933387,121.3902769,116,116,31.08933387,121.3902769,31.0665361,121.4015569,31.07793499,121.3959169,-0.011398885,0.00564
5,闵行区,4,颛桥,31.0665361,121.4015569,117,117,31.0665361,121.4015569,31.04505085,121.410017,31.05579348,121.405787,-0.010742625,0.00423005
5,闵行区,5,北桥,31.04505085,121.410017,118,118,31.04505085,121.410017,31.02648345,121.4164952,31.03576715,121.4132561,-0.0092837,0.0032391
5,闵行区,6,剑川路,31.02648345,121.4164952,119,119,31.02648345,121.4164952,31.01821095,121.4198859,31.0223472,121.4181906,-0.00413625,0.00169535
5,闵行区,7,东川路,31.01821095,121.4198859,120,120,31.01821095,121.4198859,31.01108183,121.4100601,31.01464639,121.414973,-0.00356456,-0.0049129
5,闵行区,8,金平路,31.01108183,121.4100601,121,121,31.01108183,121.4100601,31.00736727,121.3951726,31.00922455,121.4026164,-0.00185728,-0.00744375
